miR	contrast	estimate	std.error	statistic	adj.p.value	Cluster
hsa-miR-3177-3p 	Cluster3 - 2	0.984769767	0.265724703	3.70597749	0.00220935	C3
hsa-miR-3177-3p 	Cluster4 - 3	-0.18848425	0.274612718	-0.686363878	0.615783295	C3
hsa-miR-3177-3p 	Cluster5 - 3	-0.287838928	0.279668126	-1.029216067	0.506002937	C3
hsa-miR-1287-5p 	Cluster3 - 1	0.21622751	0.247942184	0.872088432	0.638913702	C3
hsa-miR-1287-5p 	Cluster3 - 2	0.601743939	0.235577402	2.554336425	0.107712974	C3
hsa-miR-1287-5p 	Cluster4 - 3	-0.175359059	0.243457044	-0.720287473	0.673570363	C3
hsa-miR-1287-5p 	Cluster5 - 3	-0.314466014	0.2479389	-1.2683206	0.457863431	C3
hsa-miR-885-5p 	Cluster3 - 1	-0.081740227	0.277100983	-0.294983532	0.911556206	C3
hsa-miR-885-5p 	Cluster3 - 2	0.501345296	0.263282063	1.90421364	0.190466722	C3
hsa-miR-885-5p 	Cluster4 - 3	-0.088381222	0.272088377	-0.324825424	0.911556206	C3
hsa-miR-885-5p 	Cluster5 - 3	0.05060537	0.277097313	0.182626706	0.911556206	C3
hsa-miR-139-5p 	Cluster3 - 1	0.359167341	0.304126842	1.180978764	0.677654639	C3
hsa-miR-139-5p 	Cluster3 - 2	0.221042044	0.288960152	0.764956838	0.740765682	C3
hsa-miR-139-5p 	Cluster4 - 3	0.036132372	0.298625352	0.120995662	0.903716311	C3
hsa-miR-139-5p 	Cluster5 - 3	0.10129773	0.304122813	0.333081657	0.903716311	C3
hsa-miR-3679-5p 	Cluster3 - 1	0.259780549	0.287349994	0.904056217	0.758838112	C3
hsa-miR-3679-5p 	Cluster3 - 2	0.222600752	0.27301996	0.815327758	0.758838112	C3
hsa-miR-3679-5p 	Cluster4 - 3	0.132068374	0.282151989	0.468075289	0.799777992	C3
hsa-miR-3679-5p 	Cluster5 - 3	-0.04673712	0.287346188	-0.162650914	0.893061325	C3
hsa-miR-23c 	Cluster3 - 1	0.398505069	0.117058227	3.40433202	0.001717235	C3
hsa-miR-23c 	Cluster3 - 2	0.728909806	0.111220578	6.553731523	8.56E-10	C3
hsa-miR-23c 	Cluster4 - 3	-0.317466689	0.114940707	-2.762003971	0.009732216	C3
hsa-miR-23c 	Cluster5 - 3	-0.210995055	0.117056676	-1.802503381	0.102480976	C3
hsa-miR-4433b-3p 	Cluster3 - 1	-0.169781151	0.273722662	-0.620267061	0.709648027	C3
hsa-miR-4433b-3p 	Cluster3 - 2	-0.019228986	0.260072217	-0.073937102	0.941073719	C3
hsa-miR-4433b-3p 	Cluster4 - 3	0.349106595	0.268771167	1.298898982	0.504137702	C3
hsa-miR-4433b-3p 	Cluster5 - 3	0.425131276	0.273719036	1.553166641	0.504137702	C3
hsa-miR-6815-5p 	Cluster3 - 1	-0.562519531	0.270289274	-2.081175928	0.237279307	C3
hsa-miR-6815-5p 	Cluster3 - 2	-0.397058193	0.256810052	-1.546116248	0.299823852	C3
hsa-miR-6815-5p 	Cluster4 - 3	0.029700496	0.265399888	0.111908472	0.910916157	C3
hsa-miR-6815-5p 	Cluster5 - 3	0.095647555	0.270285694	0.353875758	0.895589854	C3
hsa-miR-543 	Cluster3 - 1	0.408580027	0.308246473	1.325497817	0.370556194	C3
hsa-miR-543 	Cluster3 - 2	0.945296816	0.292874339	3.227653262	0.012845203	C3
hsa-miR-543 	Cluster4 - 3	-0.603083809	0.302670461	-1.99254267	0.155184848	C3
hsa-miR-543 	Cluster5 - 3	-0.672073443	0.30824239	-2.180340748	0.147205626	C3
hsa-miR-5010-5p 	Cluster3 - 1	0.038883221	0.276724841	0.140512217	0.974879134	C3
hsa-miR-5010-5p 	Cluster3 - 2	0.709972196	0.262924679	2.700287398	0.023443498	C3
hsa-miR-5010-5p 	Cluster4 - 3	0.008558231	0.271719038	0.03149662	0.974879134	C3
hsa-miR-5010-5p 	Cluster5 - 3	0.09689922	0.276721175	0.350169155	0.974879134	C3
hsa-miR-1908-5p 	Cluster3 - 1	-0.156542638	0.292084029	-0.535950692	0.657888572	C3
hsa-miR-1908-5p 	Cluster3 - 2	0.407966228	0.27751791	1.470053688	0.354574579	C3
hsa-miR-1908-5p 	Cluster4 - 3	0.375076848	0.286800388	1.307797563	0.382424072	C3
hsa-miR-1908-5p 	Cluster5 - 3	0.15801512	0.292080161	0.540999154	0.657888572	C3
hsa-miR-326 	Cluster3 - 1	0.342967008	0.298040765	1.150738585	0.500173922	C3
hsa-miR-326 	Cluster3 - 2	0.474963936	0.283177586	1.677265287	0.468857003	C3
hsa-miR-326 	Cluster4 - 3	0.012166451	0.292649369	0.041573475	0.966846175	C3
hsa-miR-326 	Cluster5 - 3	-0.053519465	0.298036818	-0.179573334	0.952800252	C3
hsa-miR-320e 	Cluster3 - 1	-0.142454553	0.127373253	-1.11840241	0.376623562	C3
hsa-miR-320e 	Cluster3 - 2	-0.476999513	0.121021197	-3.941454248	0.000860397	C3
hsa-miR-320e 	Cluster4 - 3	0.236447424	0.12506914	1.890533703	0.117892383	C3
hsa-miR-320e 	Cluster5 - 3	0.184549901	0.127371566	1.448909726	0.24607411	C3
hsa-miR-433-3p 	Cluster3 - 1	0.296613751	0.270398162	1.096951803	0.538366231	C3
hsa-miR-433-3p 	Cluster3 - 2	0.558905211	0.256913509	2.175460577	0.2980551	C3
hsa-miR-433-3p 	Cluster4 - 3	-0.262509341	0.265506806	-0.988710405	0.538366231	C3
hsa-miR-433-3p 	Cluster5 - 3	-0.214659861	0.270394581	-0.793876345	0.610623775	C3
hsa-miR-1468-5p 	Cluster3 - 1	0.439907663	0.292789003	1.502473309	0.266517148	C3
hsa-miR-1468-5p 	Cluster3 - 2	1.18954941	0.278187728	4.276067168	0.000206537	C3
hsa-miR-1468-5p 	Cluster4 - 3	-0.351485159	0.287492609	-1.222588503	0.367692949	C3
hsa-miR-1468-5p 	Cluster5 - 3	-0.331776605	0.292785125	-1.133174387	0.367692949	C3
hsa-miR-1290 	Cluster3 - 1	-0.265705436	0.146329328	-1.81580439	0.099527656	C3
hsa-miR-1290 	Cluster3 - 2	-0.975189574	0.13903194	-7.014140577	4.01E-11	C3
hsa-miR-1290 	Cluster4 - 3	0.371702686	0.14368231	2.586975996	0.019616341	C3
hsa-miR-1290 	Cluster5 - 3	0.359228929	0.14632739	2.45496711	0.023736529	C3
hsa-miR-605-3p 	Cluster3 - 1	0.23387599	0.301064415	0.776830399	0.717808493	C3
hsa-miR-605-3p 	Cluster3 - 2	1.31932204	0.286050448	4.612200578	4.45E-05	C3
hsa-miR-605-3p 	Cluster4 - 3	-0.063287331	0.295618323	-0.214084601	0.92280033	C3
hsa-miR-605-3p 	Cluster5 - 3	-0.231360974	0.301060427	-0.768486832	0.717808493	C3
hsa-miR-485-3p 	Cluster3 - 1	0.165870111	0.295178312	0.561931906	0.796014077	C3
hsa-miR-485-3p 	Cluster3 - 2	0.50858701	0.280457883	1.813416708	0.350184089	C3
hsa-miR-485-3p 	Cluster4 - 3	0.136888378	0.289838697	0.472291586	0.796014077	C3
hsa-miR-485-3p 	Cluster5 - 3	-0.105213537	0.295174402	-0.35644533	0.801749607	C3
hsa-miR-615-3p 	Cluster3 - 1	0.365336887	0.297382323	1.228509091	0.615943555	C3
hsa-miR-615-3p 	Cluster3 - 2	0.5906869	0.28255198	2.09054242	0.367955205	C3
hsa-miR-615-3p 	Cluster4 - 3	-0.317658659	0.292002838	-1.087861549	0.615943555	C3
hsa-miR-615-3p 	Cluster5 - 3	-0.244328097	0.297378384	-0.821606781	0.615943555	C3
hsa-miR-3131 	Cluster3 - 1	-0.068476054	0.29572298	-0.231554726	0.977648237	C3
hsa-miR-3131 	Cluster3 - 2	-0.356956237	0.280975388	-1.270418167	0.788218452	C3
hsa-miR-3131 	Cluster4 - 3	0.076708552	0.290373511	0.264172001	0.977648237	C3
hsa-miR-3131 	Cluster5 - 3	0.01303287	0.295719063	0.044071795	0.977648237	C3
hsa-miR-486-5p 	Cluster4 - 1	-0.118965957	0.125857119	-0.945246147	0.430922974	C4
hsa-miR-486-5p 	Cluster4 - 2	-0.263958372	0.119509602	-2.208679188	0.076348993	C4
hsa-miR-486-5p 	Cluster4 - 3	0.155426602	0.124402559	1.24938428	0.335105702	C4
hsa-miR-486-5p 	Cluster5 - 4	0.169843945	0.125858125	1.34948733	0.335105702	C4
hsa-miR-451a 	Cluster4 - 1	-0.053524197	0.135429667	-0.395217669	0.805530345	C4
hsa-miR-451a 	Cluster4 - 2	0.118865729	0.128599366	0.924310382	0.805530345	C4
hsa-miR-451a 	Cluster4 - 3	0.061517615	0.133864475	0.45955146	0.805530345	C4
hsa-miR-451a 	Cluster5 - 4	-0.047658543	0.135430749	-0.351903417	0.805530345	C4
hsa-miR-143-3p 	Cluster4 - 1	-0.188736695	0.109757905	-1.719572679	0.107235201	C4
hsa-miR-143-3p 	Cluster4 - 2	0.524590787	0.104222341	5.033381321	1.40E-06	C4
hsa-miR-143-3p 	Cluster4 - 3	-0.525836832	0.108489408	-4.846895581	2.86E-06	C4
hsa-miR-143-3p 	Cluster5 - 4	0.157895113	0.109758782	1.438564733	0.167283351	C4
hsa-miR-191-5p 	Cluster4 - 1	-0.029464364	0.059394268	-0.496080941	0.714718684	C4
hsa-miR-191-5p 	Cluster4 - 2	0.21411604	0.056398759	3.796467214	0.000515642	C4
hsa-miR-191-5p 	Cluster4 - 3	-0.057164215	0.058707835	-0.973706747	0.550689558	C4
hsa-miR-191-5p 	Cluster5 - 4	-0.012113265	0.059394743	-0.203945074	0.838433704	C4
hsa-let-7f-5p 	Cluster4 - 1	0.057531018	0.085975809	0.669153553	0.580713894	C4
hsa-let-7f-5p 	Cluster4 - 2	0.05697994	0.081639679	0.697944194	0.580713894	C4
hsa-let-7f-5p 	Cluster4 - 3	0.128651423	0.084982167	1.51386377	0.371949055	C4
hsa-let-7f-5p 	Cluster5 - 4	-0.183996232	0.085976496	-2.140075962	0.325655285	C4
hsa-miR-146a-5p 	Cluster4 - 1	0.105034325	0.07783354	1.349473819	0.221824061	C4
hsa-miR-146a-5p 	Cluster4 - 2	0.242664083	0.07390806	3.283323685	0.005289091	C4
hsa-miR-146a-5p 	Cluster4 - 3	-0.034691424	0.076934	-0.450924482	0.724590902	C4
hsa-miR-146a-5p 	Cluster5 - 4	-0.108002015	0.077834162	-1.387591412	0.221824061	C4
hsa-let-7a-5p 	Cluster4 - 1	0.017659627	0.087624284	0.201538047	0.919730895	C4
hsa-let-7a-5p 	Cluster4 - 2	0.070484307	0.083205014	0.847116097	0.762623663	C4
hsa-let-7a-5p 	Cluster4 - 3	0.078931817	0.08661159	0.911330889	0.762623663	C4
hsa-let-7a-5p 	Cluster5 - 4	-0.12386214	0.087624984	-1.41354822	0.762623663	C4
hsa-miR-26a-5p 	Cluster4 - 1	0.10884486	0.063491048	1.714333968	0.224605789	C4
hsa-miR-26a-5p 	Cluster4 - 2	0.083805125	0.060288921	1.390058478	0.282616966	C4
hsa-miR-26a-5p 	Cluster4 - 3	0.000338486	0.062757267	0.005393579	0.995697534	C4
hsa-miR-26a-5p 	Cluster5 - 4	-0.126942696	0.063491555	-1.99936348	0.224605789	C4
hsa-miR-30e-5p 	Cluster4 - 1	-0.081365995	0.119626862	-0.680164921	0.496541491	C4
hsa-miR-30e-5p 	Cluster4 - 2	0.3874367	0.113593564	3.410727554	0.001342295	C4
hsa-miR-30e-5p 	Cluster4 - 3	-0.406718365	0.118244307	-3.43964437	0.001342295	C4
hsa-miR-30e-5p 	Cluster5 - 4	0.201545992	0.119627818	1.684775293	0.115390352	C4
hsa-miR-10b-5p 	Cluster4 - 1	-0.016164667	0.101950173	-0.158554587	0.874048574	C4
hsa-miR-10b-5p 	Cluster4 - 2	-0.361171275	0.096808386	-3.730784994	0.001002582	C4
hsa-miR-10b-5p 	Cluster4 - 3	0.057264372	0.100771911	0.568257284	0.633305449	C4
hsa-miR-10b-5p 	Cluster5 - 4	0.144822307	0.101950987	1.420509115	0.259565977	C4
hsa-miR-16-5p 	Cluster4 - 1	0.093308965	0.18364974	0.508081116	0.721964824	C4
hsa-miR-16-5p 	Cluster4 - 2	0.376986823	0.174387493	2.161776723	0.128483714	C4
hsa-miR-16-5p 	Cluster4 - 3	-0.085114196	0.181527258	-0.468878321	0.721964824	C4
hsa-miR-16-5p 	Cluster5 - 4	-0.008388125	0.183651208	-0.045674217	0.963578107	C4
hsa-miR-24-3p 	Cluster4 - 1	-0.046913362	0.094312706	-0.497423563	0.68776516	C4
hsa-miR-24-3p 	Cluster4 - 2	0.350701849	0.08955611	3.916001368	0.00031835	C4
hsa-miR-24-3p 	Cluster4 - 3	-0.199563068	0.093222712	-2.14071296	0.057100099	C4
hsa-miR-24-3p 	Cluster5 - 4	-0.001670049	0.094313459	-0.017707433	0.985875424	C4
hsa-miR-186-5p 	Cluster4 - 1	0.049496263	0.134408487	0.368252509	0.838592694	C4
hsa-miR-186-5p 	Cluster4 - 2	0.471115068	0.127629688	3.691265524	0.001169756	C4
hsa-miR-186-5p 	Cluster4 - 3	-0.244987108	0.132855097	-1.844017377	0.09349466	C4
hsa-miR-186-5p 	Cluster5 - 4	-0.042000454	0.134409561	-0.312481145	0.838592694	C4
hsa-let-7g-5p 	Cluster4 - 1	0.01963538	0.142361139	0.137926543	0.960573804	C4
hsa-let-7g-5p 	Cluster4 - 2	0.332163541	0.135181253	2.457171632	0.047184318	C4
hsa-let-7g-5p 	Cluster4 - 3	-0.006957648	0.140715838	-0.049444666	0.960573804	C4
hsa-let-7g-5p 	Cluster5 - 4	0.016964768	0.142362276	0.119166175	0.960573804	C4
hsa-miR-30d-5p 	Cluster4 - 1	-0.045467565	0.061451495	-0.739893541	0.510578474	C4
hsa-miR-30d-5p 	Cluster4 - 2	0.208625434	0.058352232	3.575277711	0.000912155	C4
hsa-miR-30d-5p 	Cluster4 - 3	-0.13762756	0.060741286	-2.265799238	0.04731025	C4
hsa-miR-30d-5p 	Cluster5 - 4	0.054281425	0.061451986	0.883314414	0.471571459	C4
hsa-miR-22-3p 	Cluster4 - 1	-0.041827975	0.075371547	-0.554957096	0.579035515	C4
hsa-miR-22-3p 	Cluster4 - 2	-0.411812862	0.071570235	-5.753968252	5.63E-08	C4
hsa-miR-22-3p 	Cluster4 - 3	0.224083498	0.074500461	3.007813579	0.003843521	C4
hsa-miR-22-3p 	Cluster5 - 4	0.095247186	0.075372149	1.263692056	0.25825649	C4
hsa-miR-101-3p 	Cluster4 - 1	-0.102665017	0.125320697	-0.81921837	0.688062024	C4
hsa-miR-101-3p 	Cluster4 - 2	-0.118720549	0.119000234	-0.99764971	0.688062024	C4
hsa-miR-101-3p 	Cluster4 - 3	0.111290012	0.123872336	0.898425065	0.688062024	C4
hsa-miR-101-3p 	Cluster5 - 4	0.067065005	0.125321698	0.535142805	0.838274117	C4
hsa-let-7i-5p 	Cluster4 - 1	0.102544055	0.120712993	0.849486474	0.56541905	C4
hsa-let-7i-5p 	Cluster4 - 2	0.129222398	0.114624917	1.127349979	0.493527565	C4
hsa-let-7i-5p 	Cluster4 - 3	-0.124721633	0.119317886	-1.045288658	0.493527565	C4
hsa-let-7i-5p 	Cluster5 - 4	0.064336501	0.120713958	0.532966542	0.688145517	C4
hsa-miR-140-3p 	Cluster4 - 1	-0.283091132	0.127607066	-2.218459691	0.04454116	C4
hsa-miR-140-3p 	Cluster4 - 2	0.276007269	0.121171292	2.277827233	0.04454116	C4
hsa-miR-140-3p 	Cluster4 - 3	-0.42936386	0.126132282	-3.40407589	0.001718829	C4
hsa-miR-140-3p 	Cluster5 - 4	0.255493398	0.127608086	2.002172484	0.065012094	C4
hsa-miR-185-5p 	Cluster4 - 1	0.028234609	0.140980465	0.200273202	0.933066031	C4
hsa-miR-185-5p 	Cluster4 - 2	0.215465826	0.133870213	1.60951284	0.359292737	C4
hsa-miR-185-5p 	Cluster4 - 3	-0.073395989	0.139351121	-0.526698231	0.933066031	C4
hsa-miR-185-5p 	Cluster5 - 4	0.01184343	0.140981591	0.084006927	0.933066031	C4
hsa-miR-10a-5p 	Cluster4 - 1	-0.069878261	0.09790909	-0.713705549	0.528398782	C4
hsa-miR-10a-5p 	Cluster4 - 2	-0.346270639	0.092971113	-3.724497074	0.001027585	C4
hsa-miR-10a-5p 	Cluster4 - 3	0.008843695	0.096777533	0.091381694	0.927205751	C4
hsa-miR-10a-5p 	Cluster5 - 4	0.186278169	0.097909873	1.902547349	0.114715046	C4
hsa-let-7b-5p 	Cluster4 - 1	0.0370205	0.079208823	0.467378489	0.900172402	C4
hsa-let-7b-5p 	Cluster4 - 2	-0.009122415	0.075213981	-0.121286165	0.914746912	C4
hsa-let-7b-5p 	Cluster4 - 3	0.068152721	0.078293388	0.870478626	0.900172402	C4
hsa-let-7b-5p 	Cluster5 - 4	-0.02838592	0.079209456	-0.35836529	0.900172402	C4
hsa-miR-144-3p 	Cluster4 - 1	-0.024259952	0.194098318	-0.124987956	0.927304047	C4
hsa-miR-144-3p 	Cluster4 - 2	0.374771993	0.184309104	2.033388391	0.211250826	C4
hsa-miR-144-3p 	Cluster4 - 3	0.068989588	0.19185508	0.359592189	0.899025425	C4
hsa-miR-144-3p 	Cluster5 - 4	-0.086820204	0.194099869	-0.447296563	0.899025425	C4
hsa-miR-27a-3p 	Cluster4 - 1	0.004721759	0.12746309	0.037044125	0.970456466	C4
hsa-miR-27a-3p 	Cluster4 - 2	0.404960973	0.121034578	3.345828777	0.004079413	C4
hsa-miR-27a-3p 	Cluster4 - 3	-0.218655835	0.12598997	-1.735501918	0.118469597	C4
hsa-miR-27a-3p 	Cluster5 - 4	-0.021926284	0.127464109	-0.172019278	0.970456466	C4
hsa-miR-223-3p 	Cluster4 - 1	0.47201187	0.242175195	1.949051266	0.064428455	C4
hsa-miR-223-3p 	Cluster4 - 2	1.30707366	0.229961257	5.683886409	8.40E-08	C4
hsa-miR-223-3p 	Cluster4 - 3	-0.466551686	0.23937632	-1.949030236	0.064428455	C4
hsa-miR-223-3p 	Cluster5 - 4	-0.098227035	0.24217713	-0.405599962	0.685114513	C4
hsa-miR-99a-5p 	Cluster4 - 1	-0.086886461	0.094383663	-0.920566742	0.953939148	C4
hsa-miR-99a-5p 	Cluster4 - 2	-0.126139667	0.089623488	-1.407439836	0.953939148	C4
hsa-miR-99a-5p 	Cluster4 - 3	-0.070950497	0.093292849	-0.76051378	0.953939148	C4
hsa-miR-99a-5p 	Cluster5 - 4	0.082810819	0.094384417	0.877378091	0.953939148	C4
hsa-miR-146b-5p 	Cluster4 - 1	0.044493529	0.074408815	0.597960459	0.611097739	C4
hsa-miR-146b-5p 	Cluster4 - 2	0.216840606	0.070656058	3.068959848	0.007333447	C4
hsa-miR-146b-5p 	Cluster4 - 3	-0.130967222	0.073548856	-1.780683339	0.125394824	C4
hsa-miR-146b-5p 	Cluster5 - 4	0.017897057	0.07440941	0.240521421	0.809970354	C4
hsa-miR-27b-3p 	Cluster4 - 1	0.049207826	0.092330224	0.532954686	0.660190379	C4
hsa-miR-27b-3p 	Cluster4 - 2	0.223559294	0.087673613	2.549903969	0.03636128	C4
hsa-miR-27b-3p 	Cluster4 - 3	-0.128871747	0.091263142	-1.41208974	0.263671768	C4
hsa-miR-27b-3p 	Cluster5 - 4	0.012339855	0.092330962	0.133648067	0.893705034	C4
hsa-miR-21-5p 	Cluster4 - 1	0.048481685	0.089376183	0.542445239	0.956142739	C4
hsa-miR-21-5p 	Cluster4 - 2	-0.028332211	0.084868557	-0.33383637	0.956142739	C4
hsa-miR-21-5p 	Cluster4 - 3	0.043474391	0.088343241	0.492107723	0.956142739	C4
hsa-miR-21-5p 	Cluster5 - 4	0.02356872	0.089376897	0.263700362	0.956142739	C4
hsa-miR-100-5p 	Cluster4 - 1	-0.152302325	0.109574389	-1.389944545	0.27470607	C4
hsa-miR-100-5p 	Cluster4 - 2	-0.422671401	0.104048081	-4.062270032	0.00026003	C4
hsa-miR-100-5p 	Cluster4 - 3	0.005586103	0.108308013	0.051576079	0.958875735	C4
hsa-miR-100-5p 	Cluster5 - 4	0.081422041	0.109575265	0.743069537	0.571995489	C4
hsa-miR-25-3p 	Cluster4 - 1	-0.206409496	0.136344815	-1.513878585	0.186200775	C4
hsa-miR-25-3p 	Cluster4 - 2	0.272445756	0.129468359	2.104342388	0.071843771	C4
hsa-miR-25-3p 	Cluster4 - 3	-0.283063305	0.134769047	-2.100358439	0.071843771	C4
hsa-miR-25-3p 	Cluster5 - 4	0.215916075	0.136345905	1.583590466	0.186200775	C4
hsa-miR-423-5p 	Cluster4 - 1	-0.135505808	0.124808214	-1.08571226	0.347301761	C4
hsa-miR-423-5p 	Cluster4 - 2	-0.510227993	0.118513598	-4.30522744	9.08E-05	C4
hsa-miR-423-5p 	Cluster4 - 3	0.286513276	0.123365776	2.322469689	0.029124732	C4
hsa-miR-423-5p 	Cluster5 - 4	0.086808293	0.124809211	0.695527935	0.540966336	C4
hsa-miR-320a-3p 	Cluster4 - 1	0.069188119	0.101502416	0.681640125	0.550675939	C4
hsa-miR-320a-3p 	Cluster4 - 2	-0.282830028	0.096383212	-2.93443249	0.0068203	C4
hsa-miR-320a-3p 	Cluster4 - 3	0.343560263	0.100329329	3.424325336	0.001596947	C4
hsa-miR-320a-3p 	Cluster5 - 4	-0.098865021	0.101503227	-0.974008652	0.412829849	C4
hsa-miR-142-5p 	Cluster4 - 1	-0.013483818	0.148557853	-0.090764761	0.945714787	C4
hsa-miR-142-5p 	Cluster4 - 2	0.678638223	0.141065441	4.810804259	5.73E-06	C4
hsa-miR-142-5p 	Cluster4 - 3	-0.307549018	0.146840936	-2.09443652	0.060744661	C4
hsa-miR-142-5p 	Cluster5 - 4	-0.010117519	0.14855904	-0.068104366	0.945714787	C4
hsa-miR-151a-5pXhsa-miR-151b 	Cluster4 - 1	0.084176656	0.070326374	1.19694294	0.463167352	C4
hsa-miR-151a-5pXhsa-miR-151b 	Cluster4 - 2	0.142196269	0.066779512	2.129339749	0.167225781	C4
hsa-miR-151a-5pXhsa-miR-151b 	Cluster4 - 3	-0.010616743	0.069513596	-0.152729022	0.887880373	C4
hsa-miR-151a-5pXhsa-miR-151b 	Cluster5 - 4	-0.009917441	0.070326936	-0.141019099	0.887880373	C4
hsa-miR-92a-3p 	Cluster4 - 1	0.011244942	0.092995612	0.120919055	0.903776974	C4
hsa-miR-92a-3p 	Cluster4 - 2	-0.383052615	0.088305442	-4.337814347	5.23E-05	C4
hsa-miR-92a-3p 	Cluster4 - 3	0.262501453	0.09192084	2.855733836	0.007289207	C4
hsa-miR-92a-3p 	Cluster5 - 4	0.076223583	0.092996355	0.819640549	0.45844059	C4
hsa-miR-148a-3p 	Cluster4 - 1	-0.189987026	0.100965709	-1.881698527	0.100229574	C4
hsa-miR-148a-3p 	Cluster4 - 2	0.202551703	0.095873574	2.112695871	0.087056246	C4
hsa-miR-148a-3p 	Cluster4 - 3	-0.20168446	0.099798825	-2.020910164	0.087056246	C4
hsa-miR-148a-3p 	Cluster5 - 4	0.133681051	0.100966516	1.324013704	0.265386199	C4
hsa-miR-96-5p 	Cluster4 - 1	0.033703416	0.169178423	0.199218173	0.842128472	C4
hsa-miR-96-5p 	Cluster4 - 2	0.249418099	0.160646026	1.552594268	0.241608767	C4
hsa-miR-96-5p 	Cluster4 - 3	-0.26115807	0.167223189	-1.561733582	0.241608767	C4
hsa-miR-96-5p 	Cluster5 - 4	0.133993542	0.169179774	0.79201868	0.506001471	C4
hsa-miR-181a-5p 	Cluster4 - 1	0.217249689	0.11922397	1.822198074	0.650300281	C4
hsa-miR-181a-5p 	Cluster4 - 2	0.1179728	0.113210992	1.042061358	0.650300281	C4
hsa-miR-181a-5p 	Cluster4 - 3	0.107137408	0.117846071	0.909130077	0.650300281	C4
hsa-miR-181a-5p 	Cluster5 - 4	-0.136664922	0.119224923	-1.146278137	0.650300281	C4
hsa-miR-192-5p 	Cluster4 - 1	-0.201273385	0.117177822	-1.717674736	0.107667645	C4
hsa-miR-192-5p 	Cluster4 - 2	0.207323553	0.11126804	1.863280356	0.089551511	C4
hsa-miR-192-5p 	Cluster4 - 3	-0.422203024	0.115823571	-3.645225404	0.001108395	C4
hsa-miR-192-5p 	Cluster5 - 4	0.174544006	0.117178758	1.4895533	0.151805591	C4
hsa-miR-122-5p 	Cluster4 - 1	-0.228346976	0.146843137	-1.55504016	0.240441586	C4
hsa-miR-122-5p 	Cluster4 - 2	0.114416915	0.139437206	0.820562307	0.457857033	C4
hsa-miR-122-5p 	Cluster4 - 3	-0.395703311	0.145146037	-2.726242602	0.03253286	C4
hsa-miR-122-5p 	Cluster5 - 4	0.185749252	0.146844311	1.264940063	0.294510849	C4
hsa-miR-363-3p 	Cluster4 - 1	-0.135136442	0.173602064	-0.778426468	0.623547275	C4
hsa-miR-363-3p 	Cluster4 - 2	0.158403493	0.164846564	0.960914738	0.561339572	C4
hsa-miR-363-3p 	Cluster4 - 3	-0.204833416	0.171595705	-1.193697803	0.561339572	C4
hsa-miR-363-3p 	Cluster5 - 4	0.034425745	0.173603451	0.198301039	0.842845752	C4
hsa-miR-26b-5p 	Cluster4 - 1	0.24336695	0.163288468	1.490411127	0.340998744	C4
hsa-miR-26b-5p 	Cluster4 - 2	0.396348922	0.155053127	2.55621366	0.107137023	C4
hsa-miR-26b-5p 	Cluster4 - 3	0.044428587	0.161401306	0.275267826	0.783161573	C4
hsa-miR-26b-5p 	Cluster5 - 4	-0.106016098	0.163289773	-0.649251305	0.645387383	C4
hsa-miR-23a-3p 	Cluster4 - 1	0.045146639	0.149588964	0.30180461	0.762857398	C4
hsa-miR-23a-3p 	Cluster4 - 2	0.633642086	0.142044548	4.460868742	3.00E-05	C4
hsa-miR-23a-3p 	Cluster4 - 3	-0.453373628	0.14786013	-3.06623312	0.003700044	C4
hsa-miR-23a-3p 	Cluster5 - 4	0.053602513	0.149590159	0.358329135	0.762857398	C4
hsa-miR-16-2-3p 	Cluster4 - 1	-0.137882396	0.194505867	-0.708885538	0.683634232	C4
hsa-miR-16-2-3p 	Cluster4 - 2	0.338370535	0.184696098	1.832039432	0.224042152	C4
hsa-miR-16-2-3p 	Cluster4 - 3	-0.06472622	0.192257918	-0.33666348	0.736434063	C4
hsa-miR-16-2-3p 	Cluster5 - 4	-0.110137494	0.194507421	-0.566238007	0.714182683	C4
hsa-miR-145-3p 	Cluster4 - 1	0.103397941	0.180974164	0.571340895	0.709854919	C4
hsa-miR-145-3p 	Cluster4 - 2	0.663773714	0.171846858	3.862588603	0.000593311	C4
hsa-miR-145-3p 	Cluster4 - 3	-0.073426932	0.178882604	-0.410475532	0.757262393	C4
hsa-miR-145-3p 	Cluster5 - 4	-0.120009547	0.18097561	-0.663125527	0.709854919	C4
hsa-miR-182-5p 	Cluster4 - 1	-0.104286626	0.159190655	-0.655105205	0.657667206	C4
hsa-miR-182-5p 	Cluster4 - 2	0.068448477	0.151161984	0.452815418	0.657667206	C4
hsa-miR-182-5p 	Cluster4 - 3	-0.201089319	0.157350852	-1.277967781	0.501025848	C4
hsa-miR-182-5p 	Cluster5 - 4	0.272119903	0.159191927	1.70938256	0.292196204	C4
hsa-miR-106b-3p 	Cluster4 - 1	-0.082739236	0.236771442	-0.349447702	0.978992322	C4
hsa-miR-106b-3p 	Cluster4 - 2	0.504437276	0.224830039	2.24363826	0.062629277	C4
hsa-miR-106b-3p 	Cluster4 - 3	-0.068365259	0.23403502	-0.292115508	0.978992322	C4
hsa-miR-106b-3p 	Cluster5 - 4	0.089087942	0.236773334	0.37625834	0.978992322	C4
hsa-let-7d-5p 	Cluster4 - 1	0.152419118	0.173452764	0.878735595	0.656890882	C4
